idPk;isPrivate;cost;objectives;reaches;specificSupports;typeSupports;daysToOperations;responsabilityPerson;cover;requirements;accesibility;others;scheduleExtraordinary;otherExtraordinaryAttention;attentionFrecuency;Items_idPk
75;0;"No brinda información.";"Brindar servicios de Serv. Educativos a las personas adultas con discapacidad Intelectual.";"Ser un centro de atención para las personas adultas con alguna discapacidad intelectual que le pueda brindar terapia ocupacional para que ellos mejoren sus habilidades y destrezas.";"Académico curricular, objetivos del MEP, matemáticas básicas, leer y escribir.";"Grupales";{};"Ocupación: Administradora Formación académica: Lic. Terapeuta ocupacional Experiencia: 30 años Otras destrezas:";"San José, Alajuela y Heredia";"Mayores de 21 años, presentar epicrisis y llevar una evaluación por el CAIPAD.";"Si los reúne.";"No brinda información.";0;"-";"-Diario";75
76;0;"No brinda información.";"Atención integral de las personas con discapacidad de San Carlos.";"Atención integral de las personas con discapacidad de San Carlos.";"Manualidades, Higiene personal y de la casa, vida social, manejo del dinero.";"Grupales";{};"Ocupación: Prof. Terapia Ocupacional. Formación académica: Lic. Terapia Ocupacional Experiencia: Más de 7 años. Otras destrezas:";"San Carlos";"Ser vecino de la zona de San Carlos, presentar epicrisis y carta dirigida a la junta para solicitar la ayuda necesaria. Se hace un protocolo de ingreso para saber si la persona puede pertenecer al grupo de trabajo.";"Si posee las condiciones.";"Tienen apoyo estatal de la Junta de Protección Social, IMAS y del Ministerio de Educación Pública. Además aceptan donaciones voluntarias de empresa privada de la zona.";0;"-";"-Diario";76
77;1;"Gratis para la persona que lo necesita, se aceptan donación voluntarias.";"Atención integral de las personas con discapacidad de San Carlos.";"Atención integral de las personas con discapacidad de San Carlos.";"Psicología y trabajo social.";"Individuales";{};"Ocupación: Psicopedagoga. Formación académica: Lic. Psicología Experiencia: Más de 9 años. Otras destrezas:";"San Carlos";"Ser vecino de la zona de San Carlos, presentar epicrisis y carta dirigida a la junta para solicitar la ayuda necesaria.";"Si posee las condiciones.";"Tienen apoyo estatal de la Junta de Protección Social, IMAS y del Ministerio de Educación Pública. Además aceptan donaciones voluntarias de empresa privada de la zona.";0;"-";"-Diario";77
78;1;"Gratis para la persona que lo necesita, se aceptan donación voluntarias.";"Atención integral de las personas con discapacidad de San Carlos.";"Atención integral de las personas con discapacidad de San Carlos.";"Psicología, terapia física y ocupacional.";"Individuales";{};"Ocupación: Fisicoterapeuta Formación académica: Lic. Terapía Fisica Experiencia: Más de 5 años. Otras destrezas:";"San Carlos";"Ser vecino de la zona de San Carlos, presentar epicrisis y carta dirigida a la junta para solicitar la ayuda necesaria.";"Si posee las condiciones.";"Tienen apoyo estatal de la Junta de Protección Social, IMAS y del Ministerio de Educación Pública. Además aceptan donaciones voluntarias de empresa privada de la zona.";0;"-";"-Diario";78
79;1;"Gratis para la persona que lo necesita, se aceptan donación voluntarias.";"Atención integral de las personas con discapacidad de San Carlos.";"Atención integral de las personas con discapacidad de San Carlos.";"Psicología, terapia física y ocupacional.";"Individuales";{};"Ocupación: Fisicoterapeuta Formación académica: Lic. Terapía Fisica Experiencia: Más de 5 años. Otras destrezas:";"San Carlos";"Ser vecino de la zona de San Carlos, presentar epicrisis y carta dirigida a la junta para solicitar la ayuda necesaria.";"Si posee las condiciones.";"Tienen apoyo estatal de la Junta de Protección Social, IMAS y del Ministerio de Educación Pública. Además aceptan donaciones voluntarias de empresa privada de la zona.";0;"-";"- Semanal";79
80;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en Audiometrías.";"Brindar servicios de Audiometrías a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en Audiometrías.";"Audiometrías en consulta externa o si están internados en el hospital.";"Individuales";{};"Ocupación: Especialistas en Audiometrías. Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Provincias: Alajuela Cantones: Todos";"Ser de la Zona deAlajuela, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";80
81;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en fisioterapia.";"Brindar servicios de fisioterapia por medio de consulta externa a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en fisioterapia.";"Fisioterapia en consulta externa";"Individuales";{};"Ocupación: Fiosterapeutas Formación académica: Licenciados Experiencia: más de 10 años Otras destrezas:";"Provincias: Alajuela Cantones: Alajuela todos los cantones";"Ser de Alajuela, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";81
82;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en psiquiatría.";"Brindar servicios de psiquiatría a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en psiquiatría.";"Psiquiatra en consulta externa o si están internados en el hospital.";"Individuales";{};"Ocupación: Psiquiatras Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Alajuela";"Ser de Alajuela, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";82
83;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en ortopedia.";"Brindar servicios de ortopedia a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en ortopedia.";"ortopedia en consulta externa o si están internados en el hospital.";"Individuales";{};"Ocupación: Médicos Ortopedistas Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Alajuela";"Ser de la Zona de Alajuela, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";83
84;0;"No brinda información.";"Que las personas usuarias del CAIPAD - ASADIS, potencialicen sus capacidades, para poder obtener equidad en la sociedad y tener calidad de vida.";"Potencializar el desarrollo integral de los usuarios del CAIPAD.";"Terapia Física, Terapia Ocupacional, Educación Especial.";"Grupales";{};"Ocupación: Educadora Formación académica: Lic. Educación Especial Experiencia: Más de 5 años. Otras destrezas:";"Sarchí";"Ser de la zona de Sarchí, tener edad mínima 21 años, y presentar epicrisis o certificación de la enfermedad por parte del CONAPDIS.";"Si cumple.";"La información aquí recolectada es el resumen de información extraída de la página de Facebook y de información brindada con anterioridad el 18 de julio del 2017.";0;"-";"-Diario";84
85;0;"No brinda información.";"Mejorar la calidad de vida de nuestros asociados a través de la educación y empoderamiento personal.";"Mejorar la calidad de vida de nuestros asociados a través de la educación y empoderamiento personal.";"Artes plásticas, artes industriales (manualidades), lecto-escritura y matemáticas básicas.";"Individuales y grupales";{};"Hay 2 profesionales de enseñanza especial y 1 profesional de artes industriales, estos los paga el MEP. Ocupación: Todos Educadores Formación académica: Todos Lic. Educación especial con sus diferentes énfasis Experiencia: Más de 15 años. combinados Otras destrezas:";"Zarcero";"Epicrisis médica y ser vecino de la zona.";"Si cumple con las condiciones.";"No brinda información.";0;"-";"-Diario";85
86;0;"No brinda información.";"Mejorar la calidad de vida de nuestros asociados a través de la educación y terapia física.";"Mejorar la calidad de vida de nuestros asociados a través de la educación y terapia física.";"Lecto-escritura, matemáticas básicas, manualidades y terapia física.";"Individuales y grupales";{};"Ocupación: Educadora Formación académica: Lic. Educación especial. Experiencia: Más de 5 años. Otras destrezas:";"Zarcero";"Epicrisis médica y ser vecino de la zona.";"Si cumple con las condiciones.";"No brinda información.";0;"-";"-Diario";86
87;0;"No brinda información.";"Mejorar la calidad de vida de nuestros asociados a través de la educación y terapia física.";"Mejorar la calidad de vida de nuestros asociados a través de la educación y terapia física.";"Sesión en piscina (hidroterapia), además electroterapia.";"Individuales y grupales";{};"Ocupación: Terapeuta Física. Formación académica: Lic. Terapia Física. Experiencia: Más de 3 años. Otras destrezas:";"Zarcero";"Epicrisis médica y ser vecino de la zona, valoración de la terapeuta.";"Si cumple con las condiciones.";"La asociación venden servicios privados al público en general en Terapia Física, clases de aquafitness y clases de natación. Los días sábados. La asociación paga por sus propios medios los servicios de la terapeuta física.";0;"-";"- Semanal";87
88;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en fisioterapia.";"Brindar servicios de fisioterapia por medio de consulta externa a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en fisioterapia.";"Fisioterapia en consulta externa";"Individuales";{};"Ocupación: Fiosterapeutas Formación académica: Licenciados Experiencia: más de 10 años Otras destrezas:";"Provincias: Alajuela Cantones: San Carlos";"Ser de la Zona de San Carlos, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";88
89;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en Audiometrías.";"Brindar servicios de Audiometrías a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en Audiometrías.";"Audiometrías en consulta externa o si están internados en el hospital.";"Individuales";{};"Ocupación: Especialistas en Audiometrías. Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Provincias: Alajuela Cantones: San Carlos";"Ser de la Zona de San Carlos, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";89
90;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en psiquiatría.";"Brindar servicios de psiquiatría a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en psiquiatría.";"Psiquiatra en consulta externa o si están internados en el hospital.";"Individuales";{};"Ocupación: Psiquiatras Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Provincias: Alajuela Cantones: San Carlos";"Ser de la Zona de San Carlos, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";90
91;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en ortopedia.";"Brindar servicios de ortopedia a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en ortopedia.";"ortopedia en consulta externa o si están internados en el hospital.";"Individuales";{};"Ocupación: Médicos Ortopedistas Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Provincias: Alajuela Cantones: San Carlos";"Ser de la Zona de San Carlos, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";91
92;1;"¢25.000 Evaluación, Historial clínico, Diagnóstico e Informe ¢17.000 Intervención Terapéutica";"Ofrecer servicio de talleres para niños o padres de familia, con el fin de que se estimulen todas las áreas previas a la comunicación.";"Ofrecer servicio de talleres para niños o padres de familia, con el fin de que se estimulen todas las áreas previas a la comunicación.";"Terapia del lenguaje, habla y voz";"Individuales y grupales";{};"Profesional: Dra Meribeth Pérez Gamboa Experiencia Laboral: 2017 (Licencia de maternidad) Ministerio de Educación Pública, Escuela Viento Fresco, Aguas Zarcas, San Carlos. 2015- actualidad. Centro Especializado en Terapia del Lenguaje, habla y voz. Servicios profesionales, Terapeuta del Lenguaje, habla y voz. 2014-2017 (consecutivo) Universidad Internacional San Isidro Labrador, Sede Ciudad Quesada, San Carlos. Profesor Universitario en Terapia del Lenguaje, habla y voz. 2016-2017 Servicios Profesionales en Instituciones privadas: Carmen Lyra School, Ciudad Quesada, San Carlos. Centro Educativo Cooperativo San Carlos Borromeo, Ciudad Quesada, San Carlos. Centro Educativo San Francisco de Asis, Ciudad Quesada, San Carlos. Instituto Educativo de Formación Integral Montecarlo, Aguas Zarcas, San Carlos. 2017-actual Servicios Profesionales en Centro Médico Florencia, San Carlos Formación académica: Universitarios: Bachillerato en Terapia del Lenguaje, Universidad Internacional San Isidro Labrador, año 2014. Licenciatura en Terapia del Lenguaje, habla y voz. Universidad Internacional San Isidro Labrador, año 2015. Enseñanza General Básica I y II ciclo, categoría PT4 Educación Especial, en el servicio de Problemas de Aprendizaje EAU 2 Educación Especial, en el servicio de Problemas Emocionales y de Conducta EAU 2 Educación Especial, en el servicio de Retardo Mental EAU 2 Otros cursos: *Curso de actualización: “Logrando que mi paciente hable correctamente” *Curso de actualización: “Herramientas Terapéuticas de Intervención en los Trastornos de Lecto-Escritura” Ocupación actual: Terapeuta del Lenguaje, habla y voz Profesional: Dr. Elvis Gdo. González Madrigal Experiencia laboral: 2013-2015. Escuela San Rafael de Guatuso, Ministerio de Educación Pública, Terapeuta del Lenguaje. 2015- actualidad. Centro Especializado en Terapia del Lenguaje, habla y voz. Servicios profesionales, Terapeuta del Lenguaje, habla y voz. 2014-2016 (consecutivo) Universidad Internacional San Isidro Labrador, Sede Ciudad Quesada, San Carlos. Profesor Universitario en Terapia del Lenguaje, habla y voz. 2016-2017 Servicios Profesionales en Instituciones privadas: Carmen Lyra School, Ciudad Quesada, San Carlos. Centro Educativo Cooperativo San Carlos Borromeo, Ciudad Quesada, San Carlos. Centro Educativo San Francisco de Asis, Ciudad Quesada, San Carlos. Instituto Educativo de Formación Integral Montecarlo, Aguas Zarcas, San Carlos. 2017-actual Servicios Profesionales en Centro Médico Florencia, San Carlos Formación académica: Licenciatura en Terapia del Lenguaje, habla y voz. Universidad Internacional San Isidro Labrador, año 2015. Bachillerato en Terapia del Lenguaje, Universidad Internacional San Isidro Labrador, año 2013. Enseñanza General Básica I y II ciclo, categoría PT4 Educación Especial, en el servicio de Problemas de Aprendizaje EAU 2 Educación Especial, en el servicio de Problemas Emocionales y de Conducta EAU 2 Educación Especial, en el servicio de Retardo Mental EAU 2 Otros cursos: *Curso de actualización: “Logrando que mi paciente hable correctamente” *Curso de actualización: “Herramientas Terapéuticas de Intervención en los Trastornos de Lecto-Escritura” Ocupación actual: Terapeuta del Lenguaje, habla y voz";"San Carlos";"Solicitar una cita vía telefónica, mensaje de texto o mensaje en página de Facebook. La persona que requiere el servicio debe presentarse con madre, padre de familia o encargado con una autorización firmada.";"El servicio que brinda el Centro Especializado en Terapia del Lenguaje, habla y voz cuenta con todas las condiciones que exige el Ministerio de Hacienda y el Colegio de Terapeutas de Costa Rica, asimismo con los accesos que se exige según la Ley 7600 y el Ministerio de Salud";"No hay.";1;"- Redes Sociales Correo Electronico Servicio 24/7";"- Semanal Quincenal";92
93;1;"Gratis (se aceptan cuotas voluntarias).";"Mejorar la calidad de vida de las PcD en el país.";"Dar apoyo emocional a padres en situación de duelo.";"Experiencias vivenciales.";"Individuales y grupales";{};"Ocupación: Miembro de la junta directiva de la asoc. Formación académica: Bachiller Educación Media. Experiencia: Más de 3 años Otras destrezas:";"San Ramón.";"Ser familiar o persona interesadas en el tema de discapacidad.";"Si posee.";"No brinda información.";1;"- Servicio 24/7";"-";93
94;1;"Gratis (se aceptan cuotas voluntarias).";"Mejorar la calidad de vida de las PcD en el país.";"Dar capacitación sobre la discapacidad en Costa Rica.";"Capacitación sobre la discapacidad en sus diferentes enfermedades, experiencias vivenciales.";"Grupales";{};"Ocupación: Miembro de la junta directiva de la asoc. Formación académica: Bachiller Educación Media. Experiencia: Más de 3 años Otras destrezas:";"San Ramón.";"Ser un grupo de padres o personas interesadas en el tema de discapacidad.";"Si posee.";"No brinda información.";1;"- Servicio 24/7";"-";94
95;0;"No brinda información.";"Mejorar la calidad de vida de nuestros asociados a través de la educación para que aSi generar independencia y autoempleo.";"Mejorar la calidad de vida de nuestros asociados a través de la educación para que aSi generar independencia y autoempleo.";"Manualidades, artes plásticas, artes hidroponía, cultivos orgánicos.";"Individuales y grupales";{};"Ocupación: Master en Terapia Ocupacional. Formación académica: Master en Terapia Ocupacional. Experiencia: 11 años de experiencia. Otras destrezas:";"Atenas";"De los 21 a los 66 años máximo, con todo tipo de discapacidad: múltiple, retardo mental, sordera y otras discapacidades.";"Si poseen las condiciones.";"Actualmente hay 40 usuarios,";0;"-";"-";95
96;0;"No brinda información.";"Mejorar la calidad de vida de nuestros asociados a través de la educación para que aSi generar independencia y autoempleo.";"Mejorar la calidad de vida de nuestros asociados a través de la educación para que aSi generar independencia y autoempleo.";"Manualidades, artes plásticas, artes industriales, educación especial, terapia ocupacional, terapia física.";"Individuales y grupales";{};"Ocupación: Educadora con recargo en dirección académica Formación académica: Lic. en Educación. Experiencia: 2 años de experiencia. Otras destrezas:";"Atenas";"De los 21 a los 66 años máximo, con todo tipo de discapacidad: múltiple, retardo mental, sordera y otras discapacidades.";"Si poseen las condiciones.";"Actualmente hay 40 usuarios,";0;"-";"-";96
97;0;"No brinda información.";"Mejorar la calidad de vida de nuestros asociados a través de la educación para que aSi generar independencia y autoempleo.";"Mejorar la calidad de vida de nuestros asociados a través de la educación para que aSi generar independencia y autoempleo.";"Formación académica en lecto-escritura, saber leer, escribir y matemáticas básicas. ASi como Higiene personal, manejo del dinero, vida social.";"Individuales y grupales";{};"Ocupación: Hay 2 profesionales: Una Lic en Educación especial y una Educadora para el hogar Formación académica: La primera es Lic. En Educación Especial y la otra Bachiller en Educación. Experiencia: 3 años de experiencia. Otras destrezas:";"Atenas";"De los 21 a los 66 años máximo, con todo tipo de discapacidad: múltiple, retardo mental, sordera y otras discapacidades.";"Si poseen las condiciones.";"Actualmente hay 40 usuarios,";0;"-";"-";97
98;1;"Gratis";"Canalizar y ejecutar fondos asignados para proyectos de bien social, asegurando transparencia.";"Canalizar y ejecutar fondos asignados para proyectos de bien social, asegurando transparencia.";"Facilitar acceso a sistemas de salud, educación, cultura, el medio ambiente, el uso responsable de las nuevas tecnologías y mejoras de infraestructura escolar, sanitaria y albergues de adultos mayores";"Grupales";{};"Ocupación: Directora de asoc. Formación académica: Lic. Adm. Empresas Experiencia: Más de 9 años Otras destrezas:";"Nacional";"Ser costarricense, mayor de edad, presentar epicrisis y cert. ingresos, se analiza el caso por separado en junta directiva.";"Si posee.";"Según la Directora la Asociación sirve de enlace entre beneficiarios y benefactor, para asegurar la sostenibilidad del proyecto y la rendición de cuentas.";1;"-";"- Semanal";98
99;0;"gratis";"Brindar capacitaciones a caipad, instituciones, escuelas, centros de cuido etc, para informar sobre el tema de discapacidad y sensibilizar a las personas e informarlas sobre temas de apoyo emocional y psicológicos.";"Sensibilizar a entidades e instituciones sobre el tema de discapacidad y valorar la parte psicológica de las personas con discapacidad.";"Capacitaciones sobre el tema de discapacidad.";"Grupales";{};"Ocupación: psicólogos- dirección social Formación académica: Licenciados en psicología, Educadores. Experiencia: más de 5 años de experiencia Otras destrezas:";"San Carlos y alrededores";"No hay requisitos solo el deseo de llevarlos.";"Si incluyen todas.";"No brinda información.";0;"-";"- Semanal";99
100;0;"gratis";"Mejorar la calidad de vida de mujeres en necesidades emocionales que sufren de algún maltrato o discapacidad, a que puedan ejercer alguna actividad que les ayude a entretenerse, como elaboración de artesanías, escritura, actividades en cómputo, dibujo, etc.";"ión Humana. Fines: Brindar apoyo a las mujeres con cualquier discapacidad a tener una actividad que puedan realizar para que puedan ejercer alguna destreza.";"Formación Humana.";"Individuales y grupales";{};"Ocupación: psicólogos- dirección social Formación académica: Licenciados, educadora especial Experiencia: Más de 5 años de experiencia Otras destrezas:";"San Carlos.";"No hay requisitos solo el deseo de llevarlos.";"Si reúne todas.";"No brinda información.";0;"-";"- Semanal";100
101;1;"4 mil colones";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos";"Servicio Sanitario Portatil";"Individuales";{};"Ocupación: Empresario. Formación académica: Bachiller colegio. Experiencia: Más de 5 años en el sector. Otras destrezas:";"Alajuela, San José, Heredia.";"Cualquier persona mayor de edad que necesite del servicio.";"Las oficinas se ubican en su casa de habitación.";"No brinda información.";1;"- Servicio 24/7";"-Diario";101
102;1;"4 mil colones";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos";"Silla Baño";"Individuales";{};"Ocupación: Empresario. Formación académica: Bachiller colegio. Experiencia: Más de 5 años en el sector. Otras destrezas:";"Alajuela, San José, Heredia.";"Cualquier persona mayor de edad que necesite del servicio.";"Las oficinas se ubican en su casa de habitación.";"No brinda información.";1;"- Servicio 24/7";"-Diario";102
103;1;"4 mil colones";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos";"Andaderas";"Individuales";{};"Ocupación: Empresario. Formación académica: Bachiller colegio. Experiencia: Más de 5 años en el sector. Otras destrezas:";"Alajuela, San José, Heredia.";"Cualquier persona mayor de edad que necesite del servicio.";"Las oficinas se ubican en su casa de habitación.";"No brinda información.";1;"- Servicio 24/7";"-Diario";103
104;1;"17 mil colones";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos";"Cama Hospitalaria";"Individuales";{};"Ocupación: Empresario. Formación académica: Bachiller colegio. Experiencia: Más de 5 años en el sector. Otras destrezas:";"Alajuela, San José, Heredia.";"Cualquier persona mayor de edad que necesite del servicio.";"Las oficinas se ubican en su casa de habitación.";"No brinda información.";1;"- Servicio 24/7";"-Diario";104
105;1;"4 mil colones";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos";"Andaderas";"Individuales";{};"Ocupación: Empresario. Formación académica: Bachiller colegio. Experiencia: Más de 5 años en el sector. Otras destrezas:";"Alajuela, San José, Heredia.";"Cualquier persona mayor de edad que necesite del servicio.";"Las oficinas se ubican en su casa de habitación.";"No brinda información.";1;"- Servicio 24/7";"-Diario";105
106;1;"3 mil colones";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos";"Muletas";"Individuales";{};"Ocupación: Empresario. Formación académica: Bachiller colegio. Experiencia: Más de 5 años en el sector. Otras destrezas:";"Alajuela, San José, Heredia.";"Cualquier persona mayor de edad que necesite del servicio.";"Las oficinas se ubican en su casa de habitación.";"No brinda información.";1;"- Servicio 24/7";"-Diario";106
107;0;"No hay";"Ofrecer a las personas con discapacidad mayores de 21 años, una alternativa de dedicación personal, social, ocupacional y productiva que le permita potenciar su desarrollo integral, autonomía personal.";"Promover, desarrollar a las personas en condición de discapacidad y sus familiares.";"Higiene Personal, Manejo del dinero, vida independiente, emprendedurismo: Taller de Hidroponia";"Individuales y grupales";{};"Ocupación: Terapia Ocupacional Formación académica: Licenciada Experiencia: más 5 años Otras destrezas:";"Naranjo";"Ser vecino del cantón, mayor de edad, dictamen médico o certificación del CONAPDIS, pasar por una evaluación del equipo técnico del CAIPAD.";"Si posee.";"No brinda información.";0;"-";"-Diario";107
108;0;"No hay";"Ofrecer a las personas con discapacidad mayores de 21 años, una alternativa de dedicación personal, social, ocupacional y productiva que le permita potenciar su desarrollo integral, autonomía personal.";"Promover, desarrollar a las personas en condición de discapacidad y sus familiares.";"Educación especial, Terapia Ocupacional.";"Individuales y grupales";{};"Ocupación: Educación Especial y terapia Ocupacional Formación académica: Licenciados Experiencia: más 15 años Otras destrezas:";"Naranjo";"Ser vecino del cantón, mayor de edad, dictamen médico o certificación del CONAPDIS, pasar por una evaluación del equipo técnico del CAIPAD.";"Si posee.";"No brinda información.";0;"-";"-Diario";108
109;1;"9000 colones solo terapia física";"Ofrecer Servicios de Terapia Física a las personas que necesiten de esta.";"Promover, desarrollar a las personas en condición de discapacidad y sus familiares.";"Educación especial, estimulación con Terapia Física, Ocupacional.";"Individuales";{};"Ocupación: Fisoterapeuta Formación académica: Licenciada Experiencia: más 15 años Otras destrezas:";"Naranjo y alrededores";"Ser vecino del cantón, mayor de edad, mostrar epicrisis o certificación del CONAPDIS, pasar por una evaluación del equipo técnico del CAIPAD.";"Si posee.";"No brinda información.";0;"-";"-Diario";109
110;0;"No hay";"Ofrecer a las personas con discapacidad mayores de 21 años, una alternativa de dedicación personal, social, ocupacional y productiva que le permita potenciar su desarrollo integral, autonomía personal.";"Promover, desarrollar a las personas en condición de discapacidad y sus familiares.";"Alfabeto, matemáticas básicas, vida en hogar, vida independiente, artes plásticas, artes industriales.";"Individuales y grupales";{};"Ocupación: Profesor educación especial Formación académica: Licenciada Experiencia: más 8 años Otras destrezas:";"Naranjo";"Ser vecino del cantón, mayor de edad, dictamen médico o certificación del CONAPDIS, pasar por una evaluación del equipo técnico del CAIPAD.";"Si posee.";"No brinda información.";0;"-";"-Diario";110
111;1;"Gratis para el usuario.";"Rehabilitar y readaptar social, laboral, y económica a personas con discapacidad física y mental.";"Rehabilitar y readaptar social, laboral, y económica a personas con discapacidad física y mental.";"Formación académica y capacitación en educación formal y oficios.";"Grupales";{};"Ocupación: Terapeuta Ocupacional. Formación académica: Lic. Terapia Ocupacional. Experiencia: Más de 3 años. Otras destrezas:";"Alajuela";"Traer epicrisis, ser vecino de la zona o poseer medio de transporte, brindar información personal y familiar para poder examinar el caso en junta directiva. Se realiza un protocolo de ingreso para hacer la evaluación si la persona puede adaptarse o no al grupo.";"Si posee.";"Este servicio se da por medio de una donación de serv. profesionales que paga directamente la Municipalidad de Alajuela.";0;"-";"-Diario";111
112;0;"No brinda información.";"Rehabilitar y readaptar social, laboral, y económica a personas con discapacidad física y mental.";"Rehabilitar y readaptar social, laboral, y económica a personas con discapacidad física y mental.";"Formación académica y capacitación en educación formal y oficios.";"Grupales";{};"Ocupación: Profesora recargo dirección educación especial Formación académica: Lic. Educación Especial Experiencia: Más de 8 años. Otras destrezas:";"Alajuela";"Traer epicrisis, ser vecino de la zona o poseer medio de transporte, brindar información personal y familiar para poder examinar el caso en junta directiva. Se realiza un protocolo de ingreso para hacer la evaluación si la persona puede adaptarse o no al grupo.";"No brinda información.";"No brinda información.";0;"-";"-Diario";112
113;0;"No brinda información.";"Rehabilitar y readaptar social, laboral, y económica a personas con discapacidad física y mental.";"Rehabilitar y readaptar social, laboral, y económica a personas con discapacidad física y mental.";"Formación académica y capacitación en educación formal y oficios.";"Grupales";{};"Ocupación: Profesora recargo dirección educación especial Formación académica: Lic. Educación Especial Experiencia: Más de 8 años. Otras destrezas: El grupo de profesores están conformados, por dos Lic. en educación especial y dos profesores Lic. para educación del hogar y artes industriales, estos los paga el MEP a través del convenio Programa CAIPAD.";"Alajuela";"Traer epicrisis, ser vecino de la zona o poseer medio de transporte, brindar información personal y familiar para poder examinar el caso en junta directiva. Se realiza un protocolo de ingreso para hacer la evaluación si la persona puede adaptarse o no al grupo.";"No brinda información.";"Hay 50 personas usuarias actualmente. Los cuales llevan talleres de: Repostería, Hidroponia y Limpieza.";0;"-";"-Diario";113
